date,open,high,low,close,volume,yfinance_symbol,symbol,name_zh,market,ma20,ma60,ma120,ret1,ret5,ret20,ret60,high20,high60,high120,new_high_20d,new_high_60d,new_high_120d,near20,near60,rsi14,vol20,volume_ratio,atr_pct,upper_shadow_pct,dist_ma20_pct,dollar_volume,bull,liquidity_pct,rule_near60,rule_ret20,rule_ret60,rule_volume,rule_bull,rule_rebound,rule_near_ma20,rule_count,score,mega_rank,anti_chase_pass,entry_pass,rule_profile,strategy
2026-05-20,214.23037649358494,216.59969791903637,213.84715648703533,214.17043188205773,5152701,AAPL,AAPL,蘋果,US,227.8569162697097,220.6647975725705,207.6072639858334,0.02090030094648676,-0.024778470287090792,-0.13875736515016257,0.14828502586168524,257.08928817179077,269.6503339125822,269.6503339125822,False,False,False,-0.16694144122042942,-0.20574757399896437,33.24152973144713,3999141.15,1.2884518967278762,3.986186713881695,0.8607759352523119,-6.006613541390838,1103556198.5291107,False,0.45,False,False,False,True,False,False,True,2,14.208454396486491,19.488971612934392,True,True,US_FINAL_H70_FUSION_QQQ100,美股 FINAL 融合版｜Top2｜H70｜ret20<=42.5%｜QQQ>100MA
2026-05-20,306.8073204161061,312.01583846144666,302.1825329916687,303.87457075657926,5876639,ADBE,ADBE,Adobe,US,264.3887303077227,262.2320094824683,307.83810048646217,0.010628535179074694,0.04978554204311547,0.35118241313227516,0.044160666351634736,312.01583846144666,338.7479737128185,440.18173876973236,False,False,False,-0.026092482179789545,-0.10294793079944442,82.73849227330294,3002214.15,1.9574349817783652,3.5521243252542862,0.5296813021164261,14.934766849895187,1785761153.6163733,False,0.75,False,True,False,True,False,True,True,4,67.5073132797779,141.20015268980748,True,True,US_FINAL_H70_FUSION_QQQ100,美股 FINAL 融合版｜Top2｜H70｜ret20<=42.5%｜QQQ>100MA
2026-05-20,287.99805131275536,288.99835015492914,284.37765074698285,287.8651408812405,4307131,AMAT,AMAT,應用材料,US,268.62808736300246,248.2030898381816,246.1351599570643,0.026512240933000752,0.084167363006453,0.09233753935234423,0.20463926943429556,288.99835015492914,288.99835015492914,288.99835015492914,False,False,False,-0.003921161740477519,-0.003921161740477519,71.0969569919415,4265907.85,1.0096633943932944,2.958033260948289,0.2164821283231597,7.161221935903761,1239872872.1089582,True,0.5,True,False,False,True,True,True,True,5,89.78412849624756,149.0502039959007,True,True,US_FINAL_H70_FUSION_QQQ100,美股 FINAL 融合版｜Top2｜H70｜ret20<=42.5%｜QQQ>100MA
2026-05-20,315.60107429747455,322.06512719028217,307.0804764151422,312.2897360498101,2730411,AMD,AMD,超微,US,334.73152610145945,326.3352182489624,325.5911917759018,-0.0094679229209087,-0.05002213277818712,-0.08377517739827245,-0.011734816366693712,351.81068151014694,351.81068151014694,359.56403067615753,False,False,False,-0.11233583156342286,-0.11233583156342286,38.82529242471289,5163846.05,0.5287553063283132,4.096844331493809,0.4313782810028304,-6.704414822536653,852679330.4974979,False,0.25,False,False,False,False,False,False,True,1,0.0,-2.5224139424604424,True,True,US_FINAL_H70_FUSION_QQQ100,美股 FINAL 融合版｜Top2｜H70｜ret20<=42.5%｜QQQ>100MA
2026-05-20,806.4115105708138,815.6562666599795,802.7862497898952,809.826762214453,3937149,AMZN,AMZN,亞馬遜,US,786.8761668207684,693.1260595787768,624.0539121863686,0.024626761316040247,0.02089031591034196,0.11824926970478655,0.41552475917890996,826.7020353877075,826.7020353877075,826.7020353877075,False,False,False,-0.02041276354828414,-0.02041276354828414,51.56996989999471,4358841.2,0.9032558928735462,3.933241045087265,0.4529523546373049,2.916671817169436,3188408627.0258713,True,0.95,True,False,True,True,True,True,True,6,100.0,178.81090273173078,True,True,US_FINAL_H70_FUSION_QQQ100,美股 FINAL 融合版｜Top2｜H70｜ret20<=42.5%｜QQQ>100MA
2026-05-20,165.47661130213012,168.50724329741735,163.25104081277095,164.27562194201732,1890552,ASML,ASML,艾司摩爾,US,168.7818691583497,149.93319264771225,151.48602500793368,-0.01797437866741225,-0.012030752745823103,-0.021173379774753198,0.2837975369064176,179.20755431313145,179.20755431313145,179.20755431313145,False,False,False,-0.08332200296101022,-0.08332200296101022,48.57847215185576,4253565.8,0.44446285514144396,3.477155721059794,0.5765820483780517,-2.669864505472841,310571605.6137247,False,0.1,False,False,True,False,False,False,True,2,43.6500255345922,68.46112143787852,True,True,US_FINAL_H70_FUSION_QQQ100,美股 FINAL 融合版｜Top2｜H70｜ret20<=42.5%｜QQQ>100MA
2026-05-20,224.32907162550424,228.80305250269276,224.04076132258842,224.86732492995918,4162836,AVGO,AVGO,博通,US,251.51321931482485,301.21563765279853,313.92639900015655,0.00251132598758419,-0.04034748167310154,-0.2678457923963068,-0.37602993592843126,307.8401665395446,355.0008133388324,373.38568900332143,False,False,False,-0.26953221388322923,-0.3665723669333305,22.465379363227186,4909111.9,0.8479814852050938,4.267089012616352,0.8264357268148714,-10.594232166982998,936085795.4421315,False,0.35,False,False,False,True,False,False,True,2,0.0,-31.182692524694062,True,True,US_FINAL_H70_FUSION_QQQ100,美股 FINAL 融合版｜Top2｜H70｜ret20<=42.5%｜QQQ>100MA
2026-05-20,240.48215551488315,245.45750997871764,235.0670428793109,239.64547847600755,2494641,CRM,CRM,Salesforce,US,252.043794836522,273.140730873438,273.9016178585505,-0.010071566601096205,-0.037916274392378435,-0.1124280013871306,-0.18911641567662696,267.6005017618328,321.9064310704045,324.5485897965285,False,False,False,-0.10446551146867988,-0.2555430542995445,39.5289874693061,4700015.2,0.5307729643087111,3.967621513569087,0.4788383829364672,-4.919111922019792,597829436.070866,False,0.2,False,False,False,False,False,False,True,1,0.0,-13.056016793520751,True,True,US_FINAL_H70_FUSION_QQQ100,美股 FINAL 融合版｜Top2｜H70｜ret20<=42.5%｜QQQ>100MA
2026-05-20,374.211483584087,375.1501401085684,361.97457307896457,368.6332463116852,3645828,GOOGL,GOOGL,Alphabet,US,345.3226662523671,335.5044567906649,331.272576285335,0.004975444643742888,0.038548318489942446,0.07867785481316414,0.04404255524046463,375.1501401085684,375.1501401085684,375.1501401085684,False,False,False,-0.01737142839663397,-0.01737142839663397,84.37189900460831,3707228.45,0.9834376405910458,3.1751150192499784,0.07124221085683632,6.750376484780851,1343973411.1340387,True,0.6,True,False,False,True,True,True,True,5,57.96373372343412,102.05108149680748,True,True,US_FINAL_H70_FUSION_QQQ100,美股 FINAL 融合版｜Top2｜H70｜ret20<=42.5%｜QQQ>100MA
2026-05-20,171.26424647746637,175.58981008305165,169.64123963282302,172.88280218510477,2826790,KLAC,KLAC,科磊,US,180.8706718833608,177.08597647103778,178.83529634652183,0.003212401201850845,-0.00788748358117275,-0.03651172845729744,-0.049452506432310805,197.23065184378206,197.23065184378206,204.19627121798837,False,False,False,-0.12344860918455103,-0.12344860918455103,31.689532245989284,4663584.1,0.6061411007898411,4.092091808311354,0.45506864558405596,-4.416343244087262,488703376.3888323,False,0.15,False,False,False,False,False,False,True,1,0.0,1.6404923278318746,True,True,US_FINAL_H70_FUSION_QQQ100,美股 FINAL 融合版｜Top2｜H70｜ret20<=42.5%｜QQQ>100MA
